产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,7,滨江滨江区政府,43751元/平米,温馨人家,2006年建/板楼,636,3室2厅,103104266990,2019-03-29,南,高楼层/共17层,精装,145.37平米
70年,22,江干笕桥,42482元/平米,金色黎明三期,2016年建/板楼,380,3室1厅,103104451552,2019-04-16,南 北,高楼层/共16层,平层/精装,89.45平米
70年,0,萧山南部卧城,33019元/平米,开元名郡,2016年建/板楼,290,3室1厅,103102717703,2018-08-10,南,高楼层/共20层,精装,87.83平米
70年,3,余杭闲林,30994元/平米,绿城桃源小镇,未知年建/暂无数据,950,5室3厅,103104634376,2019-05-05,南 西北,共2层,跃层/毛坯,306.52平米
70年,37,上城复兴,43402元/平米,复兴南苑,1998年建/板楼,295,2室1厅,103102904973,2018-09-12,南 北,高楼层/共7层,平层/精装,67.97平米
70年,3,余杭崇贤,19203元/平米,龙湖香醍溪岸,2013年建/板楼,265,3室2厅,103103782737,2019-01-17,南,中楼层/共27层,平层/精装,138平米
70年,5,余杭星桥,22586元/平米,惠都家园,2011年建/板楼,195,2室2厅,103104620485,2019-05-04,南,高楼层/共24层,平层/精装,86.34平米
70年,22,江干景芳,43860元/平米,景芳二区,1997年建/板楼,290,2室1厅,103102855815,2018-09-07,南,高楼层/共6层,平层/精装,66.12㎡
50年,14,萧山萧山新城区,18156元/平米,开元加州阳光小区,2005年建/板楼,100,1室1厅,103102667638,2018-07-29,南,中楼层/共30层,精装,55.08平米
70年,9,滨江彩虹城,28151元/平米,中兴和园,2009年建/板楼,380,3室2厅,103103607736,2018-12-20,南,中楼层/共11层,平层/简装,134.99平米
70年,1,临安临安,13126元/平米,碧桂苑,未知年建/暂无数据,154,3室2厅,103104973802,2019-06-09,南,中楼层/共7层,其他,117.33平米
40年,2,余杭临平,14984元/平米,海联云客里,2017年建/板楼,93.2,1室1厅,103102712644,2018-08-09,南,高楼层/共12层,平层/毛坯,62.2平米
70年,0,西湖小和山,29903元/平米,水木清华,2008年建/板楼,308,3室2厅,103104840840,2019-05-26,南,低楼层/共6层,精装,103平米
70年,0,余杭临平,23596元/平米,中梁百悦城,2016年建/板楼,210,3室1厅,103104992020,2019-06-10,南 北,高楼层/共32层,平层/其他,89平米
40年,7,萧山奥体,32946元/平米,众安嘉润公馆,2014年建/板楼,235,1室1厅,103102713144,2018-08-09,南,中楼层/共30层,精装,71.33平米
70年,5,上城清泰,50353元/平米,皮市巷,2000年建/板塔结合,300,2室1厅,103103255300,2018-10-31,南,中楼层/共5层,平层/精装,59.58平米
70年,5,江干九堡,35223元/平米,宋都阳光国际,2013年建/板楼,960,5室3厅,103102687501,2018-08-03,南,低楼层/共21层,精装,272.55平米
70年,8,拱墅拱宸桥,40191元/平米,北国之春人家,2004年建/板楼,750,3室2厅,103104497971,2019-04-21,南,高楼层/共16层,跃层/精装,186.61平米
70年,380,西湖留下,23087元/平米,人和家园,2006年建/板楼,225,2室2厅,103102008523,2017-12-19,南,高楼层/共11层,平层/精装,97.46平米
70年,17,余杭未来科技城,41751元/平米,富力新线公园,2018年建/板楼,375,3室2厅,103104717421,2019-05-13,南 北,中楼层/共11层,平层/精装,89.82平米
70年,15,拱墅申花,46210元/平米,芳满庭,2008年建/板楼,395,3室1厅,103104498835,2019-04-21,南,低楼层/共22层,平层/简装,85.48平米
70年,4,钱塘新区沿江北,24574元/平米,梦琴湾,2007年建/板楼,370,3室2厅,103104447517,2019-04-16,南,高楼层/共32层,平层/精装,150.57平米
50年,7,余杭临平,26160元/平米,华鼎豪园,2003年建/板楼,520,5室3厅,103104220312,2019-03-24,南,中楼层/共5层,精装,198.78平米
70年,9,滨江彩虹城,35988元/平米,之江公寓,2003年建/板楼,555,3室2厅,103104198751,2019-03-22,南 北,低楼层/共20层,平层/精装,154.22平米
70年,15,下城朝晖,44470元/平米,朝晖三区,1985年建/板楼,466,4室1厅,103103514818,2018-12-04,南 北,中楼层/共7层,平层/毛坯,104.79平米
70年,11,上城近江,42177元/平米,望江家园西园,2005年建/板楼,620,4室2厅,103102795446,2018-08-28,南 北,高楼层/共6层,精装,147平米
70年,0,余杭临平,20976元/平米,碧云阁,2002年建/板楼,288,3室2厅,103105104857,2019-06-21,南,高楼层/共6层,平层/其他,137.3平米
70年,1,临安临安,18006元/平米,越秀星汇城,2015年建/板楼,160,2室2厅,103104534700,2019-04-25,南,高楼层/共32层,简装,88.86平米
70年,4,西湖文教,55953元/平米,莫干山路,未知年建/板楼,360,2室1厅,103104342943,2019-04-06,南 北,中楼层/共5层,平层/精装,64.34平米
70年,97,西湖转塘,40940元/平米,绿城之江1号,2016年建/板楼,319,2室1厅,103102017933,2017-12-23,南 北,低楼层/共25层,平层/简装,77.92平米
70年,79,萧山钱江世纪城,29574元/平米,林之语,2012年建/塔楼,215,2室1厅,103104115312,2019-03-13,南,中楼层/共18层,平层/精装,72.7平米
70年,1,西湖西溪,44178元/平米,坤和和家园,2011年建/板楼,390,2室1厅,103104333466,2019-04-05,南 北,中楼层/共15层,平层/毛坯,88.28平米
70年,1,临安临安,26487元/平米,锦绣钱塘,未知年建/板楼,1800,5室3厅,103104280883,2019-03-30,南,独栋/共3层,精装,679.58平米
70年,15,西湖文教,53494元/平米,石灰桥新村,1996年建/板楼,490,3室2厅,103104094011,2019-03-11,南,中楼层/共7层,平层/简装,91.6平米
70年,2,江干笕桥,44191元/平米,万科草庄,2012年建/板楼,464,2室2厅,103104179370,2019-03-20,南,低楼层/共16层,平层/精装,105平米
70年,15,余杭临平,19175元/平米,景瑞御华府,2015年建/板楼,170,3室1厅,103102927620,2018-09-16,东南,低楼层/共24层,平层/简装,88.66平米
70年,0,临安临安,14996元/平米,青城山语间,未知年建/暂无数据,1000,6室3厅,103104695686,2019-05-11,南,独栋/共2层,毛坯,666.86平米
70年,28,江干三里亭,38645元/平米,三里亭苑三区,1996年建/板楼,195,2室1厅,103103976354,2019-02-26,南,中楼层/共7层,平层/简装,50.46平米
50年,9,萧山钱江世纪城,27778元/平米,百富联合国际奥体之星,未知年建/塔楼,125,3室2厅,103102267602,2018-03-31,南 北,中楼层/共18层,简装,45平米
40年,1,江干景芳,31401 元/平米,新城时代广场,2009年建/塔楼,150,1室1厅,103104784082,2019-05-20,南 西 北,高楼层/共27层,平层/其他,47.77平米
70年,8,滨江滨江区政府,48165元/平米,欣盛东方郡西区,2010年建/板楼,900,4室2厅,103104209109,2019-03-23,南,高楼层/共16层,简装,186.86平米
70年,50,萧山萧山市区,24000元/平米,馨星大厦,2000年建/板楼,104.4,1室1厅,103102633084,2018-07-20,南,中楼层/共17层,平层/简装,43.48平米
70年,0,临安临安,15000元/平米,南苑小区,未知年建/板楼,117,3室1厅,103105040553,2019-06-15,南 北,高楼层/共6层,简装,78平米
70年,1,余杭良渚,28779元/平米,良渚文化村七贤郡,2014年建/板塔结合,250,3室2厅,103104050086,2019-03-06,南,高楼层/共6层,平层/精装,86.87平米
70年,13,余杭临平,21289元/平米,众安理想湾,2015年建/板楼,190万元,3室2厅,103103630536,2018-12-23,南,低楼层/共32层,平层/毛坯,89.25平米
70年,38,滨江滨江区政府,55435元/平米,绿城明月江南,2014年建/板楼,1020,4室2厅,103102498589,2018-06-11,南 北,低楼层/共24层,平层/精装,184平米
70年,1,江干四季青,45775元/平米,静安花苑,2000年建/板楼,520,3室2厅,103103832854,2019-01-27,南 北,高楼层/共6层,简装,113.6平米
70年,0,西湖转塘,45910元/平米,绿城之江1号,2016年建/板楼,505,3室2厅,103104890442,2019-05-31,南,中楼层/共25层,平层/精装,110平米
70年,37,西湖嘉绿,43271元/平米,嘉绿西苑,1999年建/板楼,490,3室1厅,103102816298,2018-08-31,南 北,低楼层/共5层,平层/简装,113.24平米
70年,12,西湖文三西路,41299元/平米,颐景园,2000年建/板楼,800,5室2厅,103104347424,2019-04-06,南 北,高楼层/共11层,精装,193.71平米
70年,29,拱墅桥西,49461元/平米,名城燕园,2010年建/板楼,770,4室2厅,103102554383,2018-06-28,南,中楼层/共5层,精装,155.68平米
70年,5,萧山闻堰,27708元/平米,通和戈雅公寓,2007年建/板楼,435,3室2厅,103102787580,2018-08-26,南,中楼层/共32层,精装,157平米
70年,4,下城朝晖,35760元/平米,朝晖九区,1996年建/板楼,280,3室1厅,103104848717,2019-05-27,南,高楼层/共6层,平层/简装,78.3平米
70年,0,滨江浦沿,37865元/平米,金盛曼城,2010年建/板楼,510,4室2厅,103104976547,2019-06-09,南,高楼层/共11层,平层/简装,134.69平米
40年,1,钱塘新区金沙湖,24945元/平米,金沙湖1号,2011年建/板楼,180,2室1厅,103104114395,2019-03-13,南 北,中楼层/共19层,跃层/精装,72.16平米
70年,53,余杭翡翠城,25942元/平米,浙地人家,2010年建/板楼,230,2室1厅,103103738651,2019-01-11,南 北,低楼层/共5层,平层/毛坯,88.66平米
70年,22,萧山闻堰,23914元/平米,绿城西子郁金香岸,2007年建/板楼,330,3室2厅,103103062737,2018-10-07,南,低楼层/共11层,平层/精装,138平米
70年,0,临安临安,23077元/平米,春天华府(临天路),未知年建/板塔结合,330,3室2厅,103103689354,2019-01-03,南 北,中楼层/共31层,平层/毛坯,143平米
40年,0,钱塘新区沿江南,16892元/平米,金隅空港公馆,2017年建/板楼,125,2室1厅,103104559845,2019-04-27,南,中楼层/共21层,平层/精装,74平米
70年,2,拱墅拱宸桥,40724元/平米,裕兴院,2003年建/板楼,270,2室1厅,103102694924,2018-08-05,南,中楼层/共6层,平层/精装,66.3平米
70年,33,西湖申花,49783元/平米,政苑小区,2005年建/板楼,550,3室2厅,103103447391,2018-11-24,东南 北,高楼层/共11层,平层/精装,110.48平米
70年,10,余杭崇贤,20787元/平米,龙湖香醍溪岸,2013年建/板楼,185,2室2厅,103102840548,2018-09-05,东 西,高楼层/共27层,平层/精装,89平米
70年,7,余杭崇贤,17025元/平米,龙湖香醍溪岸,2013年建/板楼,238,3室2厅,103102520302,2018-06-19,南,中楼层/共27层,平层/毛坯,139.8平米
70年,9,拱墅桥西,47239元/平米,信步闲庭,2008年建/板楼,620,3室2厅,103104062648,2019-03-08,南 北,中楼层/共18层,平层/精装,131.25平米
70年,0,萧山萧山市区,29810元/平米,馨星大厦,2000年建/板楼,108,1室0厅,103104987687,2019-06-10,西,低楼层/共17层,平层/其他,36.23平米
70年,14,西湖嘉绿,57203元/平米,世纪新城东区,2005年建/板楼,218,1室0厅,103104196185,2019-03-21,东南,中楼层/共27层,平层/简装,38.11平米
40年,0,萧山闻堰,17819元/平米,隐龙湾,2010年建/板塔结合,115,1室2厅,103104980596,2019-06-09,南,中楼层/共27层,平层/精装,64.54平米
40年,6,萧山南部卧城,17849元/平米,南江商业中心,2016年建/板楼,115,1室1厅,103102123622,2018-02-06,南,高楼层/共25层,精装,64.43平米
70年,3,西湖文教,56367元/平米,保俶北路101号,1998年建/板楼,440,2室2厅,103104571013,2019-04-28,南 北,中楼层/共8层,平层/精装,78.06平米
70年,11,西湖三墩,32228元/平米,金源公寓(西湖),1996年建/板楼,270,3室1厅,103102635868,2018-07-20,南,低楼层/共6层,平层/简装,83.78平米
70年,10,江干四季青,45310元/平米,观音塘小区,1993年建/板楼,370,3室2厅,103103658641,2018-12-28,南 北,中楼层/共6层,平层/简装,81.66平米
70年,4,西湖黄龙,48009元/平米,桃花弄,1990年建/板楼,288,1室1厅,103102463510,2018-05-31,南,高楼层/共6层,平层/简装,59.99平米
70年,7,余杭良渚,39656元/平米,良渚文化村柳映坊三期,2014年建/板楼,460,4室2厅,103104203149,2019-03-22,东南,高楼层/共6层,跃层/精装,116平米
70年,0,拱墅半山,38991元/平米,田园牧歌麓云苑,2015年建/板楼,340,2室1厅,103104731937,2019-05-15,南,中楼层/共15层,平层/精装,9平米
70年,51,下城三塘,33818元/平米,长兴公寓,1997年建/板楼,198,2室1厅,103102339292,2018-04-22,东南 北,高楼层/共7层,平层/简装,58.55平米
70年,9,西湖文三西路,38201元/平米,康乐香港城,2000年建/板楼,265,2室1厅,103104206842,2019-03-23,东 西,高楼层/共7层,平层/精装,69.37平米
70年,51,滨江浦沿,29201元/平米,浙新小区,2000年建/板楼,305,3室1厅,103103495785,2018-12-01,南,低楼层/共6层,简装,104.45平米
70年,15,富阳富阳,20492元/平米,野风春晓,2016年建/板楼,180,3室2厅,103104298655,2019-04-01,南 北,低楼层/共23层,平层/毛坯,87.84平米
70年,29,滨江彩虹城,48065元/平米,太阳国际公寓,2007年建/塔楼,298,1室1厅,103103211863,2018-10-25,北,高楼层/共33层,平层/简装,62平米
70年,6,西湖申花,49036元/平米,上郡,2010年建/板楼,440,2室2厅,103104726873,2019-05-14,南,中楼层/共16层,平层/精装,89.73平米
70年,0,萧山萧山市区,32299元/平米,回澜南园,1993年建/板楼,280,2室2厅,103104897200,2019-06-01,南,中楼层/共6层,平层/其他,86.69平米
70年,0,余杭崇贤,25728元/平米,恒基旭辉府,2015年建/板楼,260,3室2厅,103104687901,2019-05-10,南,中楼层/共8层,平层/简装,101.06平米
70年,8,余杭三墩,35112元/平米,亲亲家园一期,2007年建/板楼,316,2室2厅,103103971259,2019-02-26,南,低楼层/共6层,平层/精装,90平米
70年,0,余杭瓶窑,22071元/平米,南北乐章,2014年建/板楼,168,2室2厅,103104948424,2019-06-06,南,高楼层/共16层,简装,76.12平米
70年,0,临安临安,16854元/平米,吴越山庄,未知年建/暂无数据,150,3室2厅,103105026776,2019-06-14,南 北,低楼层/共6层,精装,89平米
70年,37,下城建国北路,41650元/平米,艮园社区,1992年建/板楼,103,1室1厅,103104009450,2019-03-02,东,中楼层/共5层,平层/简装,24.73平米
40年,4,余杭临平,16772元/平米,浙商开元名都祺寓,2016年建/板楼,85,1室1厅,103102953300,2018-09-19,南,高楼层/共26层,平层/精装,50.68平米
70年,6,西湖申花,41852元/平米,首开国风美域,2016年建/板楼,368,3室1厅,103103186661,2018-10-22,南,中楼层/共30层,平层/简装,87.93平米
70年,1,余杭崇贤,20829元/平米,星海云庭,2006年建/暂无数据,285,4室2厅,103104681150,2019-05-10,南,中楼层/共6层,平层/精装,136.83平米
70年,20,江干笕桥,46191元/平米,金色黎明三期,2016年建/板楼,405,3室2厅,103103062960,2018-10-07,南,中楼层/共16层,平层/精装,87.68平米
70年,3,余杭星桥,16458元/平米,广厦天都城天湖苑,2003年建/板楼,300,4室2厅,103104242308,2019-03-26,南 北,高楼层/共6层,跃层/毛坯,182.29平米
70年,11,余杭星桥,21740元/平米,绿城紫桂公寓,2013年建/板楼,190,2室2厅,103102644156,2018-07-22,南 北,低楼层/共5层,平层/精装,87.4平米
70年,18,下城朝晖,39269元/平米,中北西子花园,2000年建/板楼,930,5室3厅,103102920136,2018-09-15,南,高楼层/共11层,跃层/简装,236.83平米
70年,14,下城武林,48229元/平米,桃花河新村,1989年建/板楼,230,1室1厅,103104232535,2019-03-25,南,低楼层/共8层,简装,47.69平米
70年,35,余杭闲林,20958元/平米,竹海水韵,2011年建/板楼,296,3室2厅,103102876252,2018-09-08,南,高楼层/共18层,平层/精装,141.24平米
70年,0,临安临安,15763元/平米,青山鹤岭,未知年建/板楼,50,1室1厅,103104403647,2019-04-12,西,低楼层/共18层,精装,31.72平米
70年,23,西湖嘉绿,56023元/平米,世纪新城东区,2005年建/板楼,300,1室1厅,103103103078,2018-10-13,南,低楼层/共27层,平层/精装,53.55㎡
70年,1,余杭仁和,22425元/平米,耀达金鼎华庭,2016年建/板楼,180,2室1厅,103104777155,2019-05-20,南,中楼层/共18层,平层/精装,80.27平米
70年,68,西湖三墩,30831元/平米,同仁家园,2006年建/板楼,390,3室2厅,103102138497,2018-02-24,南 北,低楼层/共11层,平层/简装,126.5平米
70年,2,西湖申花,66537元/平米,圣苑小区,2008年建/板楼,850,3室2厅,103104898787,2019-06-01,南 北,高楼层/共18层,平层/精装,127.75平米
70年,48,余杭翡翠城,34195元/平米,翡翠城二期,2013年建/板塔结合,295,2室2厅,103102394416,2018-05-09,南,低楼层/共11层,平层/精装,86.27平米
70年,0,江干丁桥,29807元/平米,新城龙湖湾上风华,未知年建/板楼,260,3室2厅,103104726967,2019-05-14,南,高楼层/共17层,平层/毛坯,87.23平米
70年,25,滨江浦沿,35675元/平米,时代长岛之春,2005年建/板楼,288,2室2厅,103103144662,2018-10-17,南,低楼层/共6层,平层/简装,80.73平米
40年,0,,20063元/平米,西溪蓝海,2017年建/塔楼,115,1室1厅,103105076119,2019-06-19,南,高楼层/共23层,平层/简装,57.32平米
40年,0,滨江滨江区政府,39216元/平米,金铂湾,2016年建/板楼,200,1室1厅,103102811221,2018-08-31,北,高楼层/共24层,平层/精装,51平米
70年,7,西湖翠苑,43479元/平米,翠苑东四区,1998年建/板楼,320,2室2厅,103104609120,2019-05-02,南,中楼层/共7层,平层/简装,73.6平米
70年,18,西湖学军,79397元/平米,文二新村,1985年建/板楼,610,3室1厅,103103208478,2018-10-24,南,高楼层/共5层,平层/精装,76.83平米
70年,0,余杭星桥,22691元/平米,瑞金华庭嘉苑,2012年建/板楼,310,3室2厅,103102619650,2018-07-16,东南 南,低楼层/共9层,精装,136.62平米
70年,11,钱塘新区沿江南,25669元/平米,宋都晨光国际,2013年建/板塔结合,480,4室2厅,103103568703,2018-12-13,南,高楼层/共41层,平层/简装,187平米
70年,1,西湖文三西路,45524元/平米,城市心境,2004年建/板楼,630,3室2厅,103104633368,2019-05-05,南,高楼层/共11层,平层/精装,138.39平米
70年,18,江干钱江新城,70366元/平米,盛世钱塘,2007年建/板楼,1300,4室2厅,103090473799,2015-09-26,南 北,低楼层/共32层,平层/毛坯,184.75平米
70年,8,西湖文教,61078元/平米,兰庭国际,2008年建/板楼,950,4室2厅,103103631202,2018-12-23,南 北,中楼层/共18层,平层/精装,155.54平米
70年,49,下城潮鸣,47239元/平米,潮鸣苑,1998年建/板楼,408,3室2厅,103102079703,2018-01-16,南,高楼层/共7层,平层/简装,86.37平米
70年,2,余杭万达广场,34113元/平米,万科北宸之光,2015年建/塔楼,305,3室2厅,103104971620,2019-06-08,南,低楼层/共28层,简装,89.41平米
70年,2,江干火车东站,42345元/平米,锦润公寓,2015年建/塔楼,380,4室1厅,103103392489,2018-11-16,南,中楼层/共16层,平层/简装,89.74平米
70年,68,西湖文三西路,35983元/平米,香樟公寓,2000年建/板楼,599,4室2厅,103102140797,2018-02-24,南 北,高楼层/共6层,复式/简装,166.47平米
70年,4,余杭乔司,24606元/平米,复地连城国际,2011年建/板楼,215,2室2厅,103102656836,2018-07-26,南,高楼层/共14层,简装,87.38平米
70年,8,钱塘新区金沙湖,42269元/平米,龙湖滟澜山茗轩南区三期,2011年建/板楼,360,3室2厅,103104638519,2019-05-05,南,高楼层/共19层,平层/精装,85.17平米
70年,30,拱墅三墩,36430元/平米,阳光郡,2014年建/板楼,500,3室2厅,103102358047,2018-04-28,南,高楼层/共28层,平层/毛坯,137.25平米
70年,35,下城潮鸣,41764元/平米,兴和公寓,2000年建/板楼,379,3室1厅,103103697821,2019-01-04,南,低楼层/共7层,平层/精装,90.75平米
70年,69,西湖学军,89775元/平米,文二新村,1981年建/板楼,590,2室2厅,103101783965,2017-10-05,南 北,中楼层/共6层,平层/精装,65.72平米
70年,8,上城雄镇楼,57389元/平米,金都华府,2007年建/板塔结合,560,2室2厅,103104484193,2019-04-19,南,中楼层/共11层,平层/精装,97.58平米
70年,3,上城潮鸣,48981元/平米,,2002年建/板楼,550,3室2厅,103104759932,2019-05-18,南,低楼层/共18层,平层/简装,112.29平米
70年,0,临安临安,19592元/平米,青山鹤岭,未知年建/板楼,140,2室2厅,103103650239,2018-12-27,南,高楼层/共11层,平层/毛坯,71.46平米
70年,11,余杭闲林,32585元/平米,绿城桃源小镇,未知年建/暂无数据,890,5室2厅,103103922617,2019-02-20,南,低楼层/共3层,精装,273.14平米
40年,23,余杭临平,15000元/平米,华元欢乐城,2016年建/板楼,90,2室1厅,103104401777,2019-04-12,西,中楼层/共37层,平层/精装,60平米
50年,198,钱塘新区高教园区东,13628元/平米,金沙居,2009年建/板楼,100,2室1厅,103103605709,2018-12-19,北,高楼层/共18层,平层/简装,73.38平米
70年,0,萧山湘湖,30252元/平米,华瑞湘湖美地,2013年建/板塔结合,340,2室2厅,103102880842,2018-09-08,南,中楼层/共11层,平层/毛坯,112.39平米
70年,1,江干南肖埠,50305元/平米,华家池,2005年建/板楼,810,4室2厅,103104200115,2019-03-22,南,高楼层/共6层,跃层/其他,161.02平米
70年,41,西湖嘉绿,38807元/平米,富丽苑,1998年建/板楼,420,3室2厅,103101839179,2017-10-22,南,高楼层/共7层,平层/简装,108.23平米
70年,3,余杭未来科技城,42135元/平米,北大资源未名府,2018年建/板楼,375,3室2厅,103103856522,2019-02-12,南,高楼层/共11层,平层/毛坯,89平米
70年,61,余杭良渚,39690元/平米,竹径云山,2017年建/板楼,480,3室1厅,103102895650,2018-09-11,南 北,上叠别墅/共4层,跃层/精装,120.94平米
70年,12,下城流水苑,38218元/平米,流水东苑,1995年建/板楼,235,2室1厅,103104179527,2019-03-20,南,低楼层/共7层,平层/简装,61.49平米
70年,31,下城众安桥,58129元/平米,观巷,2000年建/板楼,320,3室1厅,103104365399,2019-04-08,南,中楼层/共7层,跃层/精装,55.05平米
70年,4,余杭闲林,21520元/平米,庭院深深,2012年建/板楼,290,3室2厅,103104625443,2019-05-04,南,中楼层/共11层,平层/精装,134.76平米
70年,0,临安临安,13317元/平米,恒晟左邻右里,未知年建/暂无数据,158,3室2厅,103104675997,2019-05-09,南 西 北,低楼层/共6层,平层/精装,118.65平米
40年,3,钱塘新区沿江南,14227 元/平米,保利湾天地,2010年建/板楼,138,2室2厅,103104569790,2019-04-28,东南 南,中楼层/共27层,跃层/精装,97平米
50年,4,江干南肖埠,22886元/平米,新城市广场,2000年建/塔楼,92,1室0厅,103104874035,2019-05-30,西北,高楼层/共30层,平层/精装,40.2平米
70年,16,下城建国北路,40645元/平米,艮园社区,1992年建/板楼,295,3室1厅,103103706294,2019-01-06,南 北,低楼层/共7层,平层/简装,72.58平米
70年,14,下城三塘,37490元/平米,东新园茗盛苑,2004年建/板楼,470,3室2厅,103102252605,2018-03-26,南 北,中楼层/共16层,平层/精装,125.37平米
70年,91,江干丁桥,29286元/平米,阳光逸城,2010年建/塔楼,178,2室2厅,103102831012,2018-09-03,南 北,高楼层/共15层,平层/精装,60.78平米
70年,3,余杭良渚,24828元/平米,石榴派,2012年建/塔楼,360,4室2厅,103104073954,2019-03-09,南 北,低楼层/共11层,精装,145平米
70年,10,萧山萧山新城区,32310元/平米,金帝金色钱塘,2010年建/板楼,450,3室2厅,103102499080,2018-06-11,南,低楼层/共18层,平层/精装,139.28平米
70年,18,萧山萧山市区,25047元/平米,学士桥小区,2000年建/板楼,230,3室2厅,103102797639,2018-08-29,南,高楼层/共6层,简装,91.83平米
70年,1,下城三里亭,36057元/平米,水岸雅苑,2006年建/塔楼,410,3室2厅,103104434551,2019-04-15,南,高楼层/共15层,简装,113.71平米
70年,1,上城潮鸣,44735元/平米,锦花苑,2000年建/板楼,610,3室1厅,103103485659,2018-11-30,南,中楼层/共6层,平层/精装,136.36平米
40年,4,余杭临平,16228元/平米,东湖北路227,未知年建/塔楼,128,2室1厅,103104846923,2019-05-27,南,中楼层/共4层,平层/简装,78.88平米
70年,28,西湖黄龙,53859元/平米,庆丰新村,1989年建/板楼,268,2室1厅,103102479731,2018-06-05,南 北,高楼层/共6层,平层/精装,49.76平米
70年,4,余杭临平,23805元/平米,东厦东港花苑,2011年建/板楼,210,3室1厅,103104119498,2019-03-14,南,低楼层/共5层,平层/精装,88.22平米
40年,1,萧山萧山新城区,23202元/平米,中栋国际,2015年建/板楼,120,1室1厅,103102729088,2018-08-12,北,中楼层/共16层,精装,51.72平米
70年,1,滨江浦沿,35079元/平米,金盛曼城,2010年建/板楼,475,3室2厅,103104719943,2019-05-14,南,低楼层/共18层,简装,135.41平米
40年,7,萧山闻堰,26786元/平米,湘湖九号,2010年建/板楼,150,3室2厅,103104560588,2019-04-27,西北,中楼层/共17层,跃层/精装,56平米
40年,6,余杭临平,17667元/平米,华元欢乐城,2016年建/板楼,81,2室1厅,103104162401,2019-03-18,西,中楼层/共38层,跃层/精装,45.85平米
70年,0,西湖良渚,35972元/平米,中国铁建西湖国际城,2019年建/板楼,320,3室1厅,103104772375,2019-05-19,南,低楼层/共32层,平层/毛坯,88.96平米
70年,0,临安临安,16851元/平米,锦尚唐宁郡,2014年建/板楼,235,3室2厅,103103689359,2019-01-03,南,高楼层/共18层,平层/精装,139.46平米
70年,8,西湖文教,52935元/平米,兴财名都苑,2003年建/板楼,709,3室2厅,103103958263,2019-02-24,南,低楼层/共13层,平层/精装,133.94平米
70年,32,江干丁桥,26536元/平米,新城红郡,未知年建/板楼,172,2室1厅,103103862693,2019-02-13,南,低楼层/共24层,平层/毛坯,64.82平米
70年,23,拱墅半山,30266元/平米,杭钢北苑,1995年建/板楼,145,2室1厅,103103690246,2019-01-03,南,中楼层/共4层,平层/简装,47.91平米
50年,12,上城近江,32895元/平米,景江城市花园,2007年建/板楼,250,2室1厅,103103579414,2018-12-15,南,中楼层/共33层,简装,76平米
40年,7,余杭未来科技城,30031元/平米,富力十号一期,2017年建/板楼,140,2室1厅,103103038171,2018-10-02,北,中楼层/共10层,精装,46.62平米
70年,6,余杭瓶窑,19566元/平米,北湖绿洲花园,2013年建/板楼,180,2室2厅,103102585189,2018-07-07,南,低楼层/共11层,平层/精装,92平米
70年,7,余杭未来科技城,24135元/平米,同城印象花苑西区,未知年建/板楼,290,3室2厅,103104096473,2019-03-11,东南,中楼层/共6层,平层/精装,120.16平米
70年,1,余杭勾庄,24075元/平米,嘉凯城名城博园,2016年建/板楼,260,3室2厅,103104866964,2019-05-29,南,高楼层/共30层,平层/精装,108平米
70年,1,萧山南部卧城,32271元/平米,泰和花园,1999年建/板楼,415,3室2厅,103104357810,2019-04-07,南,中楼层/共5层,简装,128.6平米
70年,26,西湖转塘,28289元/平米,朗郡庭园,2011年建/板楼,520,4室2厅,103102712474,2018-08-09,南,低楼层/共27层,平层/简装,183.82平米
70年,7,拱墅万达广场,43590元/平米,宝嘉誉峰,2016年建/塔楼,510,3室1厅,103104467042,2019-04-18,南,低楼层/共23层,平层/精装,117平米
40年,0,余杭塘栖,15496元/平米,万盛商贸城公寓,未知年建/板楼,60,2室1厅,103105026602,2019-06-14,北,中楼层/共16层,精装,38.72平米
50年,1,下城三塘,20191元/平米,阳光银泰城,2014年建/板楼,102,1室1厅,103104912196,2019-06-02,西,低楼层/共16层,平层/精装,50.52平米
70年,12,萧山义桥,25843元/平米,金域兰庭,2011年建/板楼,230,3室2厅,103104197430,2019-03-22,南,中楼层/共11层,平层/简装,89平米
70年,4,江干钱江新城,69057元/平米,金基晓庐,2009年建/板楼,938,3室2厅,103104511487,2019-04-22,南 北,高楼层/共31层,精装,135.83平米
70年,2,拱墅大关,37998元/平米,大关南八苑,1998年建/板楼,290,4室1厅,103104503589,2019-04-21,南 北,高楼层/共6层,跃层/简装,76.32平米
40年,1,余杭未来科技城,22583元/平米,西溪蓝海,2017年建/塔楼,85,1室1厅,103104490581,2019-04-20,北,中楼层/共23层,平层/精装,37.64平米
70年,3,余杭良渚,31121元/平米,良渚文化村白鹭郡南,2010年建/板楼,270,2室2厅,103104347913,2019-04-06,南,中楼层/共5层,平层/简装,86.76平米
70年,5,拱墅半山,29502元/平米,中兴御田清庭,2017年建/板楼,328,3室2厅,103104123231,2019-03-14,南 西,低楼层/共7层,平层/毛坯,111.18平米
70年,16,西湖三墩,37837元/平米,协安紫郡,2016年建/板楼,340,3室2厅,103103947279,2019-02-23,南,低楼层/共20层,平层/简装,89.86平米
